,Unnamed: 0,Kilometrage,Annee,Energie,BoiteVitesse,PuissanceFiscale,Carrosserie,Prix,Couleur,Marque,Modele
0,0,140000,6.2014,Essence,Automatique,9,Berline,90000,Blanc,MERCEDES-BENZ,CLASSE E
1,1,117000,7.2016,Diesel,Automatique,9,SUV/4x4,155000,Noir,LAND ROVER,DISCOVERY SPORT
2,2,55000,4.201,Essence,Automatique,32,SUV/4x4,189000,Noir,LAND ROVER,RANGE ROVER
3,3,198000,8.2012,Essence,Automatique,21,SUV/4x4,159000,Blanc,PORSCHE,CAYENNE
4,4,36000,2.2017,Essence,Automatique,13,Coupé,120000,Bleu,AUDI,TT
5,5,316000,11.2013,Diesel,Automatique,12,Citadine,48000,Blanc,KIA,SORENTO
6,6,160000,3.2017,Essence,Automatique,9,Citadine,58000,Beige,MG,GS
7,7,119000,4.2018,Diesel,Manuelle,7,Utilitaire,39900,Blanc,CITROEN,JUMPER
8,8,150000,8.2012,Diesel,Automatique,15,Citadine,178000,Noir,PORSCHE,CAYENNE
9,9,220000,1.2008,Essence,Automatique,22,Berline,55000,Blanc,BMW,SERIE 7
10,10,30000,8.2021,Essence,Automatique,12,Compacte,275000,Gris anthracite,JAGUAR,E-PACE
11,11,229000,3.2012,Essence,Automatique,30,Citadine,180000,Beige,PORSCHE,CAYENNE
12,12,90000,6.2019,Essence,Automatique,7,Berline,152000,Bleu,BMW,SERIE 4
13,13,163000,10.2014,Diesel,Automatique,12,SUV/4x4,74900,Noir,KIA,SORENTO
14,14,316000,4.2001,Diesel,Automatique,12,SUV/4x4,44000,Gris argent,MITSUBISHI,PAJERO
15,15,36000,9.2017,Essence,Manuelle,5,Compacte,56000,Noir,PEUGEOT,2008
16,16,232000,4.2012,Diesel,Manuelle,9,SUV/4x4,38000,Noir,SSANGYONG,KYRON
17,17,30000,7.2019,Essence,Automatique,10,Berline,225000,Blanc,BMW,SERIE 5
18,18,100000,1.2017,Essence,Automatique,7,Berline,120000,Blanc,BMW,SERIE 4
19,19,165000,4.201,Essence,Automatique,18,Berline,125500,Noir,MERCEDES-BENZ,CLASSE S
20,20,135000,4.2017,Essence,Manuelle,6,Citadine,58500,Blanc,MAZDA,3
21,21,126000,12.2009,Essence,Automatique,30,Berline,230000,Blanc,PORSCHE,PANAMERA
22,22,10000,8.202,Hybride (essence),Manuelle,6,Autres,95000,Blanc,FORD,PUMA
23,23,31000,6.2022,Essence,Automatique,11,Pick up,166500,Autre,CUPRA,FORMENTOR
24,24,231000,12.2012,Essence,Automatique,7,Berline,56500,Noir,BMW,SERIE 3
25,25,50000,5.2021,Essence,Manuelle,5,Citadine,54000,Noir,PEUGEOT,208
26,26,258000,12.2013,Diesel,Manuelle,8,Citadine,34000,Blanc,MAHINDRA,SCORPIO
27,27,144000,8.2013,Essence,Manuelle,5,Citadine,42500,Bleu,GOLF,7
28,28,148000,11.2017,Essence,Manuelle,6,Citadine,57000,Gris argent,MAZDA,3
