,BoiteVitesse,PuissanceFiscale,Prix,NombreDePlaces,NombreDePortes,Cylindrée,Energie,NombreDeCylindres,Carrosserie,Marque,Modele
0,Manuelle,6 CV,89400 DT,5.0,5,999 CM³,Essence,3.0,SUV,NISSAN, JUKE1.0 L DIG-T TEKNA
1,Automatique,6 CV,96400 DT,5.0,5,999 CM³,Essence,3.0,SUV,NISSAN, JUKE1.0 L DIG-T DCT TEKNA
2,Automatique,6 CV,97400 DT,5.0,5,999 CM³,Essence,3.0,SUV,NISSAN, JUKE1.0 L DIG-T DCT TEKNA PERSO
3,Automatique,8 CV,143500 DT,5.0,5,1332 CM³,Essence,4.0,SUV,NISSAN, QASHQAI1.3 L N-CONNECTA
4,Automatique,8 CV,144500 DT,5.0,5,1332 CM³,Essence,4.0,SUV,NISSAN, QASHQAI1.3 L TEKNA
5,Automatique,8 CV,148500 DT,5.0,5,1332 CM³,Essence,4.0,SUV,NISSAN, QASHQAI1.3 L TEKNA HIGH
6,Automatique,5 CV,122500 DT,5.0,3,1499 CM³,Essence,3.0,Citadine,MINI, 3 PORTES1.5 L ONE
7,Automatique,5 CV,126500 DT,5.0,5,1499 CM³,Essence,3.0,Citadine,MINI, 5 PORTES1.5 L ONE
8,Automatique,6 CV,140000 DT,5.0,5,1499 CM³,Essence,3.0,SUV,MINI, COUNTRYMAN1.5 L ONE
9,Automatique,6 CV,172300 DT,5.0,5,1499 CM³,Essence,3.0,SUV,MINI, COUNTRYMAN1.5 L ONE PACK FUNNY
10,Automatique,6 CV,54800 DT,5.0,5,1398 CM³,Essence,4.0,Citadine,CHEVROLET, SONIC 1.4 L BVA
11,Automatique,6 CV,89800 DT,5.0,5,1485 CM³,Essence,4.0,SUV,CHEVROLET, GROOVE1.5 L PREMIER
12,Automatique,9 CV,98500 DT,5.0,5,1451 CM³,Essence,4.0,SUV,CHEVROLET, CAPTIVA1.5 TURBO CVT 5 PLACES
13,Automatique,9 CV,106500 DT,7.0,5,1451 CM³,Essence,4.0,SUV,CHEVROLET, CAPTIVA1.5 TURBO CVT 7 PLACES
14,Automatique,10 CV,148900 DT,5.0,5,1451 CM³,Essence,4.0,SUV,CHEVROLET, EQUINOX1.5 TURBO AWD BVA
15,Manuelle,5 CV,68500 DT,5.0,5,1199 cm3,Essence,3.0,Citadine,PEUGEOT, 208 1.2 L ACTIVE1.2 L ACTIVE
16,Manuelle,6 CV,72500 DT,2.0,2,1910 CM³,Diesel,4.0,Pick up,PEUGEOT, LANDTREK SIMPLE CABINE1.9 L DIESEL 4X2 BENNE TÔLE PLIÉE
17,Manuelle,6 CV,76500 DT,2.0,2,1910 CM³,Diesel,4.0,Pick up,PEUGEOT, LANDTREK SIMPLE CABINE1.9 L DIESEL 4X2
18,Manuelle,6 CV,92990 DT,5.0,4,1910 CM³,Diesel,4.0,Pick up,PEUGEOT, LANDTREK DOUBLE CABINE1.9 L DIESEL 4X2
19,Manuelle,6 CV,102990 DT,5.0,4,1910 CM³,Diesel,4.0,Pick up,PEUGEOT, LANDTREK DOUBLE CABINE1.9 L DIESEL 4X4
20,Automatique,7 CV,97900 DT,5.0,5,1199 CM³,Essence,3.0,SUV,PEUGEOT, 20081.2 L PURETECH 130 ACTIVE BVA
21,Automatique,7 CV,104900 DT,5.0,5,1199 CM³,Essence,3.0,SUV,PEUGEOT, 20081.2 L PURETECH 130 ALLURE BVA
22,Manuelle,5 CV,100900 DT,5.0,5 | 2 portes latérales coulissantes,1560 CM³,Diesel,4.0,Monospace,PEUGEOT, RIFTER1.6 L HDI 90CH ACTIVE PACK
23,Automatique,7 CV,105900 DT,5.0,5,1199 CM³,Essence,3.0,Compacte,PEUGEOT, 3081.2 L PURETECH 130 CH ALLURE EAT8
24,Automatique,7 CV,120900 DT,5.0,5,1199 CM³,Essence,3.0,Compacte,PEUGEOT, 308 GT1.2 L PURETECH 130 CH BVA
25,Automatique,9 CV,146900 DT,5.0,5,1598 CM³,Essence,4.0,SUV,PEUGEOT, 30081.6 L ALLURE BVA
26,Automatique,13 CV,148900 DT,5.0,4,1598 CM³,Essence,4.0,Berline,PEUGEOT, 4081.6 L ALLURE EAT8
27,Automatique,13 CV,149900 DT,5.0,4,1598 CM³,Essence,4.0,Berline,PEUGEOT, 4081.6 L ALLURE PACK EAT8
28,Manuelle,8 CV,151900 DT,9.0,5 | 1 porte latérale coulissante,1997 CM³,Diesel,4.0,Monospace,PEUGEOT, EXPERT COMBI2.0 L HDI 9 PLACES
29,Automatique,13 CV,160900 DT,5.0,4,1598 CM³,Essence,4.0,Berline,PEUGEOT, 408 GT1.6 L EAT8
30,Automatique,9 CV,166900 DT,5.0,5,1598 CM³,Essence,4.0,SUV,PEUGEOT, 3008 GT1.6L BVA
31,Manuelle,8 CV,171900 DT,9.0,5 | 1 porte latérale coulissante,1997 CM³,Diesel,4.0,Monospace,PEUGEOT, TRAVELLER 2.0 L HDI 9 PLACES
32,Automatique,9 CV,186900 DT,7.0,5,1598 CM³,Essence,4.0,SUV,PEUGEOT, 5008 GT1.6L THP 163CH BVA
33,Manuelle,7 CV,109900 DT,7.0,4 | 1 porte latérale coulissante | 2 portes arrières battantes vitrées,2198 CM³,Diesel,4.0,Utilitaire,PEUGEOT, BOXER DOUBLE CABINEPLATEAU 350 L2
34,Manuelle,5 CV,67500 DT,2.0,3 | 1 porte latérale coulissante | 2 portes arrières battantes tolées,1560 CM³,Diesel,4.0,Utilitaire,PEUGEOT, PARTNER1.6 L HDI 90CH 650 KG
35,Manuelle,5 CV,68500 DT,2.0,3 | 1 porte latérale coulissante | 2 portes arrières battantes tolées,1560 CM³,Diesel,4.0,Utilitaire,PEUGEOT, PARTNER1.6 L HDI 90CH 1000 KG
36,Manuelle,9 CV,84900 DT,3.0,5 | 1 porte latérale coulissante | 2 portes arrières battantes tolées,1997 CM³,Diesel,4.0,Utilitaire,PEUGEOT, EXPERT2.0 L HDI 5.8 M3
37,Manuelle,7 CV,89900 DT,3.0,4 | 1 porte latérale coulissante | 2 portes arrières battantes tolées,2198 CM³,Diesel,4.0,Utilitaire,PEUGEOT, BOXER335 L1H1 FOURGON
38,Manuelle,7 CV,91900 DT,3.0,4 | 1 porte latérale coulissante | 2 portes arrières battantes tolées,2198 CM³,Diesel,4.0,Utilitaire,PEUGEOT, BOXER335 L2H2 FOURGON
39,Manuelle,7 CV,93900 DT,3.0,4 | 1 porte latérale coulissante | 2 portes arrières battantes tolées,2198 CM³,Diesel,4.0,Utilitaire,PEUGEOT, BOXER335 L3H2 FOURGON
40,Manuelle,6 CV,72900 DT,5.0,5,1199 CM³,Essence,3.0,Citadine,OPEL, CORSA1.2 TURBO EDITION
41,Manuelle,6 CV,76900 DT,5.0,5,1199 CM³,Essence,3.0,Citadine,OPEL, CORSA1.2 TURBO GS LINE
42,Automatique,6 CV,82900 DT,5.0,5,1199 CM³,Essence,3.0,SUV,OPEL, CROSSLAND1.2 L 110 CH AT6 EDITION
43,,,89900 DT,,,,,,,OPEL, CROSSLAND1.2 L 110 CH AT6 ELEGANCE
44,Automatique,7 CV,96900 DT,5.0,5,1199 CM³,Essence,3.0,SUV,OPEL, MOKKA1.2 L TURBO 130 CH AT8 ELEGANCE LIMITED
45,Automatique,7 CV,104900 DT,5.0,5,1199 CM³,Essence,3.0,SUV,OPEL, MOKKA1.2 L TURBO 130 CH AT8 ELEGANCE
46,Automatique,7 CV,109900 DT,5.0,5,1199 CM³,Essence,3.0,SUV,OPEL, MOKKA1.2 L TURBO 130 CH AT8 GS
47,Automatique,7 CV,105900 DT,5.0,5,1199 CM³,Essence,3.0,Compacte,OPEL, ASTRA1.2 L ELEGANCE
48,Automatique,7 CV,112900 DT,5.0,5,1199 CM³,Essence,3.0,Compacte,OPEL, ASTRA1.2 L GS
49,Manuelle,5 CV,64900 DT,2.0,3 | 1 porte latérale coulissante | 2 portes arrières battantes tolées,1560 CM³,Diesel,4.0,Utilitaire,OPEL, COMBO CARGO1.6 L DIESEL CONFORT L1H1 650 KG
50,Manuelle,5 CV,67900 DT,2.0,3 | 1 porte latérale coulissante | 2 portes arrières battantes tolées,1560 CM³,Diesel,4.0,Utilitaire,OPEL, COMBO CARGOXL 1.6 L DIESEL CONFORT L2H1 1000 KG
51,Manuelle,5 CV,62900 DT,2.0,"5 ,  1 porte latérale coulissante ,  2 portes arrières battantes tolées",1560 cm3,Diesel,4.0,,CITROEN,CITROËN BERLINGO VAN1.6L HDI 90 CH
52,Manuelle,5 CV,82900 DT,,"5, 1 porte latérale coulissante, 2 portes arrières battantes tolées",1 997 cm3,Diesel,4.0,Utilitaire,CITROEN,CITROËN JUMPY FOURGON2L HDI BVM 150CH
53,Manuelle,7 CV,89900 DT,,"5, 1 porte latérale coulissante",2198 cm3,Diesel,4.0,Utilitaire,CITROEN,CITROËN JUMPER30 L1H1 2.2L HDI 8M3
54,Manuelle,7 CV,91900 DT,,"5, 1 porte latérale coulissante",2198 cm3,Diesel,4.0,Utilitaire,CITROEN,CITROËN JUMPER30 L2H2 2.2L HDI 11.5M2
55,Manuelle,7 CV,94900 DT,,"5, 1 porte latérale coulissante",2198 cm3,Diesel,4.0,Utilitaire,CITROEN,CITROËN JUMPER30 L3H3 2.2L HDI 15M3
56,Automatique,4 CV,67500 DT,4.0,3,1242 CM³,Essence,4.0,Citadine,FIAT, 5001.2 L BVA
57,Manuelle,5 CV,78500 DT,5.0,4,1368 CM³,Essence,4.0,Berline,FIAT, TIPO BERLINE1.4 L ENTRY PLUS
58,Manuelle,5 CV,83000 DT,5.0,4,1248 CM³,Diesel,4.0,Berline,FIAT, TIPO BERLINE1.3 L DIESEL ENTRY
59,Automatique,7 CV,111000 DT,5.0,5,1368 CM³,Essence,4.0,SUV,FIAT, 500X CROSS1.4 L MULTIAIR BVA
60,Automatique,7 CV,112000 DT,5.0,5,1368 CM³,Essence,4.0,SUV,FIAT, 500X CROSS1.4 L MULTIAIR BICOLORE BVA
61,Manuelle,5 CV,49500 DT,2.0,2 | 1 porte latérale coulissante | 2 portes arrières battantes tolées,1248 CM³,Diesel,4.0,Utilitaire,FIAT, FIORINO1.3 L MULTIJET
62,Manuelle,6 CV,80000 DT,5.0,5 | 2 portes latérales coulissantes | 2 portes arrières battantes vitrées,1368 CM³,Essence,4.0,Monospace,FIAT, DOBLO COMBI1.4 L
63,Manuelle,5 CV,90000 DT,5.0,5 | 2 portes latérales coulissantes | 2 portes arrières battantes vitrées,1248 CM³,Diesel,4.0,Monospace,FIAT, DOBLO COMBI1.2 L DIESEL MAXI
64,Manuelle,7 CV,90400 DT,3.0,2 portes latérales coulissantes | 2 portes arrières battantes tolées | 6,2179 CM³,Diesel,4.0,Utilitaire,FIAT, DUCATO2.2 HDI 8M3 L1H1
65,Manuelle,7 CV,92400 DT,3.0,2 portes latérales coulissantes | 2 portes arrières battantes tolées | 6,2179 CM³,Diesel,4.0,Utilitaire,FIAT, DUCATO2.2 HDI 11.5 M3 L1H2
66,Manuelle,7 CV,94400 DT,3.0,2 portes latérales coulissantes | 2 portes arrières battantes tolées | 6,2179 CM³,Diesel,4.0,Utilitaire,FIAT, DUCATO2.2 HDI 13 M3 L2H2
67,Manuelle,4 CV,28113 DT,5.0,5,998 CM³,Essence,3.0,Citadine,SUZUKI, CELERIO POPULAIRE1.0 L GL
68,Manuelle,5 CV,52900 DT,5.0,5,1197 cm3,Essence,4.0,Citadine,SUZUKI, SWIFT1.2 L GL1.2 L GLX
69,Automatique,5 CV,55900 DT,5.0,5,1197 CM³,Essence,4.0,Citadine,SUZUKI, SWIFT1.2 L GL BVA
70,Manuelle,5 CV,57500 DT,5.0,5,1197 CM³,Essence,4.0,Citadine,SUZUKI, SWIFT1.2 L GLX PACK
71,Automatique,5 CV,61900 DT,5.0,5,1197 cm3,Essence,4.0,Citadine,SUZUKI, SWIFT1.2 L GLX PACK BVA1.2 L GLX PACK BVA
72,Manuelle,5 CV,54900 DT,5.0,4,1197 CM³,Essence,4.0,Berline,SUZUKI, DZIRE 1.2 L GL
73,Manuelle,5 CV,57900 DT,5.0,4,1197 CM³,Essence,4.0,Berline,SUZUKI, DZIRE 1.2 L GLX PACK
74,Manuelle,6 CV,62900 DT,5.0,4,1462 CM³,Essence,4.0,Berline,SUZUKI, CIAZ1.5 L GL
75,Automatique,6 CV,67900 DT,5.0,4,1462 CM³,Essence,4.0,Berline,SUZUKI, CIAZ1.5 L GL BVA
76,Manuelle,6 CV,69900 DT,5.0,4,1462 CM³,Essence,4.0,Berline,SUZUKI, CIAZ1.5 L GLX
77,Automatique,6 CV,73900 DT,5.0,4,1462 CM³,Essence,4.0,Berline,SUZUKI, CIAZ1.5 GLX BVA
78,Manuelle,6 CV,66900 DT,5.0,5,1462 CM³,Essence,4.0,Compacte,SUZUKI, BALENO1.5 L GL BVM
79,Automatique,6 CV,76900 DT,5.0,5,1462 CM³,Essence,4.0,Compacte,SUZUKI, BALENO1.5 L GLX BVA
80,Manuelle,6 CV,76900 DT,5.0,5,1462 CM³,Essence,4.0,SUV,SUZUKI, FRONX1.5 L GL BVM
